"species","habitat"
"Barbus barbus","freshwater; benthopelagic"
"Barbus cyclolepis","freshwater"
"Barbus haasi","freshwater"
"Barbus meridionalis","freshwater"
"Barbus peloponnesius","freshwater"
"Bathophilus flemingi","marine"
"Bathyagonus nigripinnis","marine"
"Bathygobius soporator","marine; freshwater; brackish"
"Bathylagus pacificus","marine"
"Bathypterois dubius","marine"
"Bathyraja interrupta","marine"
"Bathyraja lindbergi","marine"
"Bathyraja maculata","marine"
"Bathyraja minispinosa","marine"
"Bathyraja parmifera","marine"
"Bathyraja taranetzi","marine; brackish"
"Bathyraja trachura","marine"
"Bathysolea profundicola","marine"
"Batrachocottus baicalensis","freshwater"
"Batrachocottus multiradiatus","freshwater"
"Bellator gymnostethus","marine"
"Belone belone","marine; brackish"
"Belone euxini","marine; brackish"
"Benthalbella linguidens","marine"
"Benthosema fibulatum","marine"
"Benthosema glaciale","marine"
"Benthosema pterotum","marine; benthopelagic"
"Benthosema suborbitale","marine"
"Beryx decadactylus","marine"
"Beryx splendens","marine; benthopelagic"
"Blepsias cirrhosus","marine"
"Blicca bjoerkna","freshwater; brackish"
"Bodianus frenchii","marine; reef-associated"
"Bolbometopon muricatum","marine; reef-associated"
"Boleophthalmus pectinirostris","marine; freshwater; brackish"
"Boops boops","marine"
"Boreogadus saida","marine; brackish"
"Borostomias panamensis","marine"
"Bostockia porosa","freshwater"
"Bothus podas","marine"
"Boulengerochromis microlepis","freshwater"
"Bovichtus diacanthus","marine"
"Brachirus orientalis","marine; freshwater; brackish"
"Brachydeuterus auritus","marine; brackish; benthopelagic"
"Brachymystax lenok","freshwater; benthopelagic"
"Brachypleura novaezeelandiae","marine"
"Brama brama","marine"
"Brama japonica","marine"
"Branchiostegus argentatus","marine"
"Branchiostegus auratus","marine"
"Branchiostegus japonicus","marine"
"Brevoortia patronus","marine"
"Brevoortia tyrannus","marine; brackish"
"Brosme brosme","marine"
"Brotula barbata","marine; reef-associated"
"Brotula clarkae","marine; benthopelagic"
"Brycinus imberi","freshwater"
"Brycinus lateralis","freshwater"
"Brycinus leuciscus","freshwater"
"Brycinus macrolepidotus","freshwater; brackish"
"Brycinus nurse","freshwater"
"Brycinus sadleri","freshwater"
"Brycon amazonicus","freshwater"
"Brycon cephalus","freshwater; benthopelagic"
"Brycon guatemalensis","freshwater; benthopelagic"
"Buglossidium luteum","marine"
"Bunocephalus coracoideus","freshwater"
"Calamus leucosteus","marine"
"Calamus nodosus","marine; reef-associated"
"Calamus penna","marine; reef-associated"
"Calamus proridens","marine; reef-associated"
"Callionymus belcheri","marine"
"Callionymus lyra","marine"
"Callorhinchus capensis","marine"
"Callorhinchus milii","marine; brackish"
"Calophysus macropterus","freshwater"
"Calotomus japonicus","marine"
"Calotomus spinidens","marine; reef-associated"
"Campostoma anomalum","freshwater"
"Capoeta angorae","freshwater"
"Capoeta antalyensis","freshwater"
"Capoeta banarescui","freshwater"
"Capoeta capoeta","freshwater; benthopelagic"
"Capoeta damascina","freshwater"
"Capoeta erhani","freshwater"
"Capoeta fusca","freshwater"
"Capoeta gracilis","freshwater"
"Capoeta tinca","freshwater"
"Capoeta trutta","freshwater"
"Capoeta umbla","freshwater"
"Capros aper","marine"
"Caquetaia kraussii","freshwater"
"Carangoides armatus","marine; brackish; reef-associated"
"Carangoides bajad","marine; reef-associated"
"Carangoides chrysophrys","marine; brackish; reef-associated"
"Carangoides equula","marine; reef-associated"
"Carangoides ferdau","marine; brackish; reef-associated"
"Carangoides malabaricus","marine; reef-associated"
"Caranx bucculentus","marine; brackish; reef-associated"
"Caranx caballus","marine; brackish"
"Caranx caninus","marine; brackish"
"Caranx crysos","marine; brackish; reef-associated"
"Caranx hippos","marine; brackish; reef-associated"
"Caranx ignobilis","marine; brackish; reef-associated"
"Caranx lugubris","marine; benthopelagic"
"Caranx melampygus","marine; brackish; reef-associated"
"Caranx rhonchus","marine; brackish; benthopelagic"
"Caranx ruber","marine; reef-associated"
"Caranx sexfasciatus","marine; freshwater; brackish; reef-associated"
"Caranx tille","marine; reef-associated"
"Carasobarbus luteus","freshwater"
"Carassius auratus","freshwater; benthopelagic"
"Carassius carassius","freshwater; brackish"
"Carassius gibelio","freshwater; brackish; benthopelagic"
"Carcharhinus acronotus","marine; reef-associated"
"Carcharhinus amblyrhynchos","marine; reef-associated"
"Carcharhinus brachyurus","marine; brackish; reef-associated"
"Carcharhinus brevipinna","marine; reef-associated"
"Carcharhinus falciformis","marine; reef-associated"
"Carcharhinus galapagensis","marine; reef-associated"
"Carcharhinus isodon","marine"
"Carcharhinus leucas","marine; freshwater; brackish; reef-associated"
"Carcharhinus limbatus","marine; brackish; reef-associated"
"Carcharhinus longimanus","marine"
"Carcharhinus obscurus","marine; brackish; reef-associated"
"Carcharhinus plumbeus","marine; brackish; benthopelagic"
"Carcharhinus porosus","marine; brackish"
"Carcharhinus signatus","marine; benthopelagic"
"Carcharhinus sorrah","marine; brackish; reef-associated"
"Carcharhinus tilstoni","marine; brackish"
"Carcharias taurus","marine; reef-associated"
"Carcharodon carcharias","marine; brackish"
"Careproctus colletti","marine"
"Careproctus melanurus","marine"
"Careproctus zachirus","marine"
"Carlarius heudelotii","marine; freshwater; brackish"
"Carlarius parkii","marine; freshwater; brackish"
"Caspiomyzon wagneri","marine; freshwater; brackish"
"Cataetyx alleni","marine"
"Catostomus commersonii","freshwater; brackish"
"Catostomus discobolus","freshwater"
"Catostomus latipinnis","freshwater"
"Catostomus platyrhynchus","freshwater"
"Caulolatilus affinis","marine; brackish"
"Caulolatilus microps","marine"
"Centracanthus cirrus","marine; benthopelagic"
"Centroberyx affinis","marine; benthopelagic"
"Centrolabrus exoletus","marine"
"Centrophorus squamosus","marine"
"Centropomus armatus","marine; brackish"
"Centropomus undecimalis","marine; freshwater; brackish; reef-associated"
"Centropristis striata","marine; reef-associated"
"Centroscymnus coelolepis","marine"
"Cephalopholis boenak","marine; reef-associated"
"Cephalopholis cruentata","marine; reef-associated"
"Cephalopholis fulva","marine; reef-associated"
"Cephalopholis hemistiktos","marine; reef-associated"
"Cephalopholis panamensis","marine; reef-associated"
"Cephalopholis sexmaculata","marine; reef-associated"
"Cephalopholis spiloparaea","marine; reef-associated"
"Cephalopholis taeniops","marine"
"Cephalopholis urodeta","marine; reef-associated"
"Cepola macrophthalma","marine"
"Cetengraulis edentulus","marine; brackish"
"Cetengraulis mysticetus","marine; brackish"
"Cetorhinus maximus","marine"
"Cetoscarus bicolor","marine; reef-associated"
"Cetostoma regani","marine"
"Chaenocephalus aceratus","marine"
"Chaenogobius annularis","freshwater"
"Chaetodipterus faber","marine; brackish; reef-associated"
"Chaetodon auriga","marine; reef-associated"
"Chaetodon baronessa","marine; reef-associated"
"Chaetodon citrinellus","marine; reef-associated"
"Chaetodon lunulatus","marine; reef-associated"
"Chaetodon miliaris","marine; reef-associated"
"Chaetodon speculum","marine; reef-associated"
"Chaetodon trifascialis","marine; reef-associated"
"Chaetodon trifasciatus","marine; reef-associated"
"Champsocephalus gunnari","marine; benthopelagic"
"Channa argus","freshwater"
"Channa gachua","freshwater; benthopelagic"
"Channa marulius","freshwater; benthopelagic"
"Channa punctata","freshwater; brackish; benthopelagic"
"Channa striata","freshwater; brackish; benthopelagic"
"Channichthys rhinoceratus","marine"
"Chanodichthys erythropterus","freshwater; benthopelagic"
"Chanodichthys mongolicus","freshwater; benthopelagic"
